dimension,rating,explanation
OOS edge (all 6),STRONG,"All six strategies pass Gate1 (PF 1.487-2.697) on adequate OOS samples (67-308 trades) -- a materially better rate than the 32.4% Gate1 pass rate among the 71-hypothesis Phase33-40 research ledger"
OOS sub-half consistency,STRONG,All six sign-consistent across both OOS halves
Parameter robustness,STRONG (newly established this phase),"ZERO sign reversals across 12 perturbation tests (2 parameters x 6 strategies, +/-20% each) -- the single most important NEW evidence this phase adds versus Phase46's INSUFFICIENT DATA placeholder. AUDJPY_AMR shows a broad plateau; the other five show moderate stability, no strategy shows a narrow peak or reversal"
Cost robustness,STRONG (newly established this phase),"All six remain PF>1.0 at 2x the modeled transaction cost -- classified A.COST ROBUST for all six under the preregistered PF>1.0 threshold, though the disclosed placeholder cost model (1.0/2.0 pip flat) is a relative, not absolute, test per Phase47's own limitation"
Regime robustness,STRONG,All six positive in every available historical regime period (2023-2024/2025/2026YTD)
HIGH-volatility behavior,WEAK (carried forward from Phase46, not re-tested),"3 of 6 (AUDJPY_AMR/CADJPY_AMR/CADJPY_ARB) fail; unchanged from Phase46's finding, not independently re-verified in this phase's simulation"
Drawdown correlation,WEAK,"4 of 6 (AUDJPY_AMR/CADJPY_AMR/EURJPY_AMR/GBPJPY_AMR) are CORRELATED -- the exact hard gate that rejected AUDUSD Monday LONG and every Phase38/40 candidate; notably GBPJPY_AMR, the largest single R-contributor to the portfolio, shows the STRONGEST correlation of the six (0.697)"
Portfolio-level parameter sensitivity,MODERATE,"Substituting each strategy's own +/-20% perturbation into the full six-strategy portfolio one at a time (phase48_portfolio_robustness.csv) shows total_R ranging roughly 179-206R and max_dd -10.8 to -15.9R across scenarios versus a 193.6R/-12.2R baseline -- meaningful but not extreme swings, no scenario reverses portfolio profitability"
Live validation,INSUFFICIENT (unchanged from Phase45/46),"Live samples remain tiny (2-5 trades/strategy); no strategy shows an extreme-tail deterioration signal"
Evidence sufficiency (overall),MODERATE (upgraded from Phase46's WEAK-TO-MODERATE),"Parameter and cost robustness, the two gaps that previously capped every strategy at B, are now closed with clean, uniformly positive results -- the portfolio's remaining weaknesses (HIGH-vol concentration in 3/6, drawdown correlation in 4/6) are now precisely characterized rather than simply unknown"
