trade_id,strategy,status,entry_time,entry_price,entry_price_valid,classification,signal_price_in_export,fill_price_recoverable_locally,fill_price_recoverable_via_mt5_deal_history
578493052,AUDJPY_AMR,CLOSED,2026-07-20 21:15:05+00:00,0.0,False,PRE-FIX,"NOT_AVAILABLE (schema has signal_time only, no signal_price column)",NO (journal fill_price also 0.0 per fix-commit message),UNTESTED -- no 5ers MT5/terminal access this session
578493053,CADJPY_AMR,CLOSED,2026-07-20 21:15:05+00:00,0.0,False,PRE-FIX,"NOT_AVAILABLE (schema has signal_time only, no signal_price column)",NO (journal fill_price also 0.0 per fix-commit message),UNTESTED -- no 5ers MT5/terminal access this session
578493733,EURJPY_AMR,CLOSED,2026-07-20 22:00:05+00:00,0.0,False,PRE-FIX,"NOT_AVAILABLE (schema has signal_time only, no signal_price column)",NO (journal fill_price also 0.0 per fix-commit message),UNTESTED -- no 5ers MT5/terminal access this session
578605805,GBPJPY_ARB,CLOSED,2026-07-21 05:00:05+00:00,0.0,False,PRE-FIX,"NOT_AVAILABLE (schema has signal_time only, no signal_price column)",NO (journal fill_price also 0.0 per fix-commit message),UNTESTED -- no 5ers MT5/terminal access this session
579088315,AUDJPY_AMR,CLOSED,2026-07-22 01:00:06+00:00,0.0,False,PRE-FIX,"NOT_AVAILABLE (schema has signal_time only, no signal_price column)",NO (journal fill_price also 0.0 per fix-commit message),UNTESTED -- no 5ers MT5/terminal access this session
579594382,EURJPY_AMR,CLOSED,2026-07-22 21:15:05+00:00,0.0,False,PRE-FIX,"NOT_AVAILABLE (schema has signal_time only, no signal_price column)",NO (journal fill_price also 0.0 per fix-commit message),UNTESTED -- no 5ers MT5/terminal access this session
579709124,CADJPY_ARB,CLOSED,2026-07-23 05:00:05+00:00,0.0,False,PRE-FIX,"NOT_AVAILABLE (schema has signal_time only, no signal_price column)",NO (journal fill_price also 0.0 per fix-commit message),UNTESTED -- no 5ers MT5/terminal access this session
579709125,GBPJPY_ARB,CLOSED,2026-07-23 05:00:05+00:00,0.0,False,PRE-FIX,"NOT_AVAILABLE (schema has signal_time only, no signal_price column)",NO (journal fill_price also 0.0 per fix-commit message),UNTESTED -- no 5ers MT5/terminal access this session
580176229,AUDJPY_AMR,CLOSED,2026-07-24 00:45:05+00:00,0.0,False,PRE-FIX,"NOT_AVAILABLE (schema has signal_time only, no signal_price column)",NO (journal fill_price also 0.0 per fix-commit message),UNTESTED -- no 5ers MT5/terminal access this session
580176231,EURJPY_AMR,CLOSED,2026-07-24 00:45:05+00:00,0.0,False,PRE-FIX,"NOT_AVAILABLE (schema has signal_time only, no signal_price column)",NO (journal fill_price also 0.0 per fix-commit message),UNTESTED -- no 5ers MT5/terminal access this session
580681757,GBPUSD_MON,CLOSED,2026-07-26 22:00:15+00:00,0.0,False,PRE-FIX,"NOT_AVAILABLE (schema has signal_time only, no signal_price column)",NO (journal fill_price also 0.0 per fix-commit message),UNTESTED -- no 5ers MT5/terminal access this session
581248231,EURJPY_AMR,CLOSED,2026-07-28 00:15:05+00:00,0.0,False,PRE-FIX,"NOT_AVAILABLE (schema has signal_time only, no signal_price column)",NO (journal fill_price also 0.0 per fix-commit message),UNTESTED -- no 5ers MT5/terminal access this session
